City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,72.77,clear sky,-23.1203,-134.9692,People ThankYou
3,Abu Zabad,SD,73.96,overcast clouds,12.35,29.25,حامد محمد نور
13,Bengkulu,ID,73.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
20,Anzio,IT,77.31,overcast clouds,41.4853,12.6179,Hotel Lido Garda
25,Caravelas,BR,69.33,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
27,Zwedru,LR,70.2,broken clouds,6.0667,-8.1281,Elijah Worjloh
29,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
30,Atuona,PF,76.8,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
33,Lagoa,PT,74.7,light rain,39.05,-27.9833,Casa Das Faias
36,Jamestown,US,70.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
43,Brasilia De Minas,BR,71.8,overcast clouds,-16.2064,-44.4333,Hotel Neris
44,Shingu,JP,77.11,light rain,33.7333,135.9833,Shingu UI Hotel
47,Arraial Do Cabo,BR,68.92,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Onda,ES,77.32,overcast clouds,39.9667,-0.25,Motel Shhh
56,Bethel,US,71.96,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
58,Santa Marinella,IT,77.49,broken clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
61,Olinda,BR,74.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
71,Khowst,AF,75.58,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
72,Piacabucu,BR,73.11,clear sky,-10.4056,-36.4344,Piaçabuçu News
74,Rivadavia,AR,68.38,broken clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
75,Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,Le four à pain
76,Belgrade,RS,70.43,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
81,Aksu,CN,72.63,clear sky,41.1231,80.2644,Pudong Holiday Hotel
82,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
89,Ribeira Grande,PT,75.99,light rain,38.5167,-28.7,Quinta da Meia Eira
92,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
100,Vila Velha,BR,70.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
102,Salalah,OM,76.35,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
105,Mayumba,GA,74.01,overcast clouds,-3.432,10.6554,LIKWALE LODGE
112,Quatre Cocos,MU,69.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
113,Flin Flon,CA,76.89,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
115,Atikokan,CA,76.98,scattered clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
122,Hasaki,JP,73.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
123,Ovsyanka,RU,69.22,overcast clouds,55.9575,92.5519,Hotel Alsey Krasnoyarsk
126,Kishi,NG,71.85,overcast clouds,9.0833,3.85,New NCCF KISI
128,Ilebo,CD,74.71,scattered clouds,-4.3167,20.5833,Hôtel BUMAK
129,Vao,NC,69.26,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
130,Fortuna,US,75.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
131,Thompson,CA,74.19,few clouds,55.7435,-97.8558,Burntwood Hotel
134,Colares,PT,72.34,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
141,Shimoda,JP,74.1,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
145,Mwense,ZM,73.2,clear sky,-10.3845,28.698,Mwense Council Guest House
147,Shelburne,CA,75.24,clear sky,44.0787,-80.2041,The Retreat at the Farm
153,Halifax,CA,69.69,clear sky,44.6453,-63.5724,Hotel Halifax
158,Biak,ID,74.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
162,Ganzhou,CN,77.76,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
169,Belmonte,BR,70.54,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
172,Cairns,AU,74.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
174,Cururupu,BR,76.01,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
177,Neka,IR,74.95,moderate rain,36.6508,53.299,گالری گل وندا
185,Tura,IN,75.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
188,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
190,Port Perry,CA,77.07,broken clouds,44.1068,-78.9444,Willow Pond B&B and Wedding & Event Planners
193,Yairipok,IN,69.49,overcast clouds,24.6667,94.0667,Ningthounai
196,Glen Cove,US,73.76,overcast clouds,40.8623,-73.6337,The Mansion at Glen Cove
198,Josefina,PH,69.55,overcast clouds,8.2,123.5333,Teofelo espanol
202,Kotaparh,IN,72.97,overcast clouds,19.15,82.35,Atul Pattnaik
203,Idah,NG,72.81,light rain,7.1065,6.7342,Ubiga Hotel Idah
204,Pepperell,US,69.89,overcast clouds,42.6659,-71.5884,Stud Muffin Farm
207,Kutum,SD,73.38,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
212,Bambanglipuro,ID,74.79,overcast clouds,-7.95,110.2833,Puri Brata
213,Jambi,ID,71.1,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
222,Khandbari,NP,72.03,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
231,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
232,Tautira,PF,76.53,light rain,-17.7333,-149.15,Pension Oaoa
233,Skowhegan,US,72.57,scattered clouds,44.7651,-69.7192,Kyes Motel
236,Nsanje,MW,69.6,few clouds,-16.92,35.262,Nsanje Discovery Lodge
237,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
238,Nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
241,Saint-Ambroise,CA,71.58,few clouds,48.5501,-71.3324,Motel Saint-Ambroise
249,San Luis,AR,70.65,scattered clouds,-33.295,-66.3356,Huarpes Hotel
254,Weinan,CN,73.11,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
