City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,72.77,74,6,23.94,clear sky
1,Churapcha,RU,62.0025,132.4325,42.58,85,100,13.76,light rain
2,Kapaa,US,22.0752,-159.319,84.11,72,16,5.01,few clouds
3,Abu Zabad,SD,12.35,29.25,73.96,82,100,7.74,overcast clouds
4,Valparaiso,CL,-33.0393,-71.6273,57.0,91,100,11.5,overcast clouds
5,Viedma,AR,-40.8135,-62.9967,48.22,76,100,17.98,moderate rain
6,Vaitape,PF,-16.5167,-151.75,78.24,74,9,21.12,clear sky
7,Bluff,NZ,-46.6,168.3333,45.81,69,91,2.51,overcast clouds
8,Ancud,CL,-41.8697,-73.8203,43.23,85,98,10.0,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,60,100,11.07,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,58.15,93,11,6.17,few clouds
11,Albany,US,42.6001,-73.9662,69.64,83,97,1.32,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,51.8,88,3,8.21,clear sky
13,Bengkulu,ID,-3.8004,102.2655,73.4,89,100,2.93,overcast clouds
14,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,2.24,broken clouds
15,Vostok,RU,46.4856,135.8833,51.6,87,10,6.78,clear sky
16,Ahipara,NZ,-35.1667,173.1667,54.46,69,99,3.0,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,100,5.99,overcast clouds
18,Barcelona,ES,41.3888,2.159,82.85,80,20,4.61,few clouds
19,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,7,1.59,clear sky
20,Anzio,IT,41.4853,12.6179,77.31,87,97,10.89,overcast clouds
21,Codrington,AU,-38.2667,141.9667,55.42,95,100,18.28,light rain
22,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,2.37,light rain
23,Cape Town,ZA,-33.9258,18.4232,57.9,85,1,11.99,clear sky
24,Letnyaya Stavka,RU,45.4306,43.4472,58.08,37,77,4.61,broken clouds
25,Caravelas,BR,-17.7125,-39.2481,69.33,71,100,7.92,overcast clouds
26,Mataura,NZ,-46.1927,168.8643,45.48,92,95,1.92,overcast clouds
27,Zwedru,LR,6.0667,-8.1281,70.2,99,59,3.0,broken clouds
28,Khatanga,RU,71.9667,102.5,29.41,90,96,8.66,overcast clouds
29,Camacha,PT,33.0833,-16.3333,69.22,83,20,9.22,few clouds
30,Atuona,PF,-9.8,-139.0333,76.8,81,29,28.16,light rain
31,Cherskiy,RU,68.75,161.3,54.39,42,60,13.96,broken clouds
32,Busselton,AU,-33.65,115.3333,47.44,84,83,5.46,broken clouds
33,Lagoa,PT,39.05,-27.9833,74.7,89,99,19.8,light rain
34,Cabo San Lucas,MX,22.8909,-109.9124,81.05,86,100,28.77,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,32.09,89,100,4.92,overcast clouds
36,Jamestown,US,42.097,-79.2353,70.02,74,100,9.22,overcast clouds
37,Fillan,NO,63.6064,8.9696,49.44,69,49,3.67,scattered clouds
38,Geraldton,AU,-28.7667,114.6,50.41,93,84,5.75,broken clouds
39,Nikolskoye,RU,59.7035,30.7861,46.78,94,52,4.79,broken clouds
40,Palma,ES,39.5694,2.6502,78.6,83,20,4.61,few clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,69.82,75,0,15.01,clear sky
42,Bredasdorp,ZA,-34.5322,20.0403,48.25,94,5,0.54,clear sky
43,Brasilia De Minas,BR,-16.2064,-44.4333,71.8,36,100,2.01,overcast clouds
44,Shingu,JP,33.7333,135.9833,77.11,88,98,5.99,light rain
45,Shanhetun,CN,44.7,127.2,60.98,70,0,15.82,clear sky
